ID_LINEA_PRESUPUESTO,FECHA_PRESUPUESTO
18_20261002||REP||REPARACION EXTERNA||72403398||COMPONENTE,2027-01-12
18_20261013||REP||REPARACION EXTERNA||72403398||COMPONENTE,2026-12-12
102_20310303||NEW||COMPONENTE NUEVO COMPLETO||72403348||PROGRAMADO,2027-06-06
103_20310303||NEW||COMPONENTE NUEVO COMPLETO||72403348||PROGRAMADO,2027-06-06
113_20310303||NEW||COMPONENTE NUEVO COMPLETO||72403348||PROGRAMADO,2028-06-06
115_20310302||NEW||COMPONENTE NUEVO COMPLETO||72403348||PROGRAMADO,2028-06-05
121_20310302||NEW||COMPONENTE NUEVO COMPLETO||72403348||PROGRAMADO,2028-06-05
122_20280807||NEW||COMPONENTE NUEVO COMPLETO||72403348||PROGRAMADO,2028-08-07
123_20280807||NEW||COMPONENTE NUEVO COMPLETO||72403348||PROGRAMADO,2028-08-07
124_20280807||NEW||COMPONENTE NUEVO COMPLETO||72403348||PROGRAMADO,2028-08-07
126_20310302||NEW||COMPONENTE NUEVO COMPLETO||72403348||PROGRAMADO,2028-06-05
129_20310303||NEW||COMPONENTE NUEVO COMPLETO||72403348||PROGRAMADO,2027-06-06
130_20310303||NEW||COMPONENTE NUEVO COMPLETO||72403348||PROGRAMADO,2027-06-06
131_20310303||NEW||COMPONENTE NUEVO COMPLETO||72403348||PROGRAMADO,2027-06-06
132_20310303||NEW||COMPONENTE NUEVO COMPLETO||72403348||PROGRAMADO,2028-06-06
135_20310303||NEW||COMPONENTE NUEVO COMPLETO||72403348||PROGRAMADO,2027-06-06
136_20310302||NEW||COMPONENTE NUEVO COMPLETO||72403348||PROGRAMADO,2027-06-05
137_20310302||NEW||COMPONENTE NUEVO COMPLETO||72403348||PROGRAMADO,2027-06-05
138_20310303||NEW||COMPONENTE NUEVO COMPLETO||72403348||PROGRAMADO,2027-06-06
139_20310303||NEW||COMPONENTE NUEVO COMPLETO||72403348||PROGRAMADO,2027-06-06
140_20310303||NEW||COMPONENTE NUEVO COMPLETO||72403348||PROGRAMADO,2027-06-06
143_20310302||NEW||COMPONENTE NUEVO COMPLETO||72403348||PROGRAMADO,0202-06-05
144_20310302||NEW||COMPONENTE NUEVO COMPLETO||72403348||PROGRAMADO,2028-06-05
PM_PC70001_750_72302201_20280118||NEW||PM 750H PALA PC70001||72302201||PM,2028-01-18
PM_PC70001_750_72403348_20280118||NEW||PM 750H PALA PC70001||72403348||PM,2028-01-18
PM_PC70001_1000_72302201_20280222||NEW||PM 1000H PALA PC70001||72302201||PM,2028-02-22
PM_PC70001_1000_72403348_20280222||NEW||PM 1000H PALA PC70001||72403348||PM,2028-02-22
PM_PC70001_1250_72302201_20280328||NEW||PM 1250H PALA PC70001||72302201||PM,2028-03-28
PM_PC70001_1250_72403348_20280328||NEW||PM 1250H PALA PC70001||72403348||PM,2028-03-28
PM_PC70001_1500_72302201_20280502||NEW||PM 1500H PALA PC70001||72302201||PM,2028-05-02
PM_PC70001_1500_72403348_20280502||NEW||PM 1500H PALA PC70001||72403348||PM,2028-05-02
PM_PC70001_1750_72302201_20280606||NEW||PM 1750H PALA PC70001||72302201||PM,2028-06-06
PM_PC70001_1750_72403348_20280606||NEW||PM 1750H PALA PC70001||72403348||PM,2028-06-06
PM_PC70001_250_72302201_20280711||NEW||PM 250H PALA PC70001||72302201||PM,2028-07-11
PM_PC70001_250_72403348_20280711||NEW||PM 250H PALA PC70001||72403348||PM,2028-07-11
PM_PC70001_2000_72302201_20280815||NEW||PM 2000H PALA PC70001||72302201||PM,2028-08-15
PM_PC70001_2000_72403348_20280815||NEW||PM 2000H PALA PC70001||72403348||PM,2028-08-15
PM_PC70001_500_72302201_20280919||NEW||PM 500H PALA PC70001||72302201||PM,2028-09-19
PM_PC70001_500_72403348_20280919||NEW||PM 500H PALA PC70001||72403348||PM,2028-09-19
PM_PC70001_750_72302201_20281024||NEW||PM 750H PALA PC70001||72302201||PM,2028-10-24
PM_PC70001_750_72403348_20281024||NEW||PM 750H PALA PC70001||72403348||PM,2028-10-24
PM_PC70001_1000_72302201_20281128||NEW||PM 1000H PALA PC70001||72302201||PM,2028-11-28
PM_PC70001_1000_72403348_20281128||NEW||PM 1000H PALA PC70001||72403348||PM,2028-11-28
