ID_EVENTO,DECISION_PRESUPUESTO,TIPO_REPARACION,COSTO_REPARACION,COSTO_COMPONENTE_NUEVO,COSTO_MATERIAL_REP_INTERNA,LEAD_TIME_COMPRA_DIAS,TIEMPO_REPARACION_DIAS,CLASE_COSTO_COMPONENTE_NUEVO,CLASE_COSTO_MATERIAL_REP_INTERNA,CLASE_COSTO_REP_EXTERNA,CLASE_COSTO_REP_INTERNA,COSTO_PLACAS_PERF_ESTRUC,COSTO_SOLDADURAS_FUNDENTES_ACCES,CLASE_COSTO_PLACAS_PERF_ESTRUC,DESC_CLASE_COSTO_PLACAS_PERF_ESTRUC,CLASE_COSTO_SOLDADURAS_FUNDENTES_ACCES,DESC_CLASE_COSTO_SOLDADURAS_FUNDENTES_ACCES
13_20270311,REP,INTERNA,4334.0,16593.95,5942.3099999999995,0.0,0.0,72403348,72403348,72403398,72504416,0.0,0.0,72403324,PLACAS Y PERFILES ESTRUCT.,72403326,SOLDADURAS FUNDENTES Y ACCES.
13_20270523,REP,INTERNA,4334.0,16593.95,5942.3099999999995,0.0,0.0,72403348,72403348,72403398,72504416,0.0,0.0,72403324,PLACAS Y PERFILES ESTRUCT.,72403326,SOLDADURAS FUNDENTES Y ACCES.
13_20270804,NEW,INTERNA,4334.0,16593.95,5942.3099999999995,0.0,0.0,72403348,72403348,72403398,72504416,0.0,0.0,72403324,PLACAS Y PERFILES ESTRUCT.,72403326,SOLDADURAS FUNDENTES Y ACCES.
13_20271016,NEW,INTERNA,4334.0,16593.95,5942.3099999999995,0.0,0.0,72403348,72403348,72403398,72504416,0.0,0.0,72403324,PLACAS Y PERFILES ESTRUCT.,72403326,SOLDADURAS FUNDENTES Y ACCES.
13_20271228,NEW,INTERNA,4334.0,16593.95,5942.3099999999995,0.0,0.0,72403348,72403348,72403398,72504416,0.0,0.0,72403324,PLACAS Y PERFILES ESTRUCT.,72403326,SOLDADURAS FUNDENTES Y ACCES.
15_20270721,NEW,EXTERNA,36446.5,70000.0,0.0,0.0,90.0,72403348,72403348,72403398,72504416,0.0,0.0,72403324,PLACAS Y PERFILES ESTRUCT.,72403326,SOLDADURAS FUNDENTES Y ACCES.
40_20270722,REP,INTERNA,0.0,84097.4,36760.57,0.0,0.0,72403348,72403348,72403398,72504416,0.0,0.0,72403324,PLACAS Y PERFILES ESTRUCT.,72403326,SOLDADURAS FUNDENTES Y ACCES.
40_20270901,REP,INTERNA,0.0,84097.4,36760.57,0.0,0.0,72403348,72403348,72403398,72504416,0.0,0.0,72403324,PLACAS Y PERFILES ESTRUCT.,72403326,SOLDADURAS FUNDENTES Y ACCES.
13_20270123,REP,INTERNA,4334.0,16593.95,5942.3099999999995,0.0,0.0,72403348,72403348,72403398,72504416,0.0,0.0,72403324,PLACAS Y PERFILES ESTRUCT.,72403326,SOLDADURAS FUNDENTES Y ACCES.
13_20270525,REP,INTERNA,4334.0,16593.95,5942.3099999999995,0.0,0.0,72403348,72403348,72403398,72504416,0.0,0.0,72403324,PLACAS Y PERFILES ESTRUCT.,72403326,SOLDADURAS FUNDENTES Y ACCES.
13_20270924,NEW,INTERNA,4334.0,16593.95,5942.3099999999995,0.0,0.0,72403348,72403348,72403398,72504416,0.0,0.0,72403324,PLACAS Y PERFILES ESTRUCT.,72403326,SOLDADURAS FUNDENTES Y ACCES.
15_20270921,NEW,EXTERNA,36446.5,70000.0,0.0,0.0,90.0,72403348,72403348,72403398,72504416,0.0,0.0,72403324,PLACAS Y PERFILES ESTRUCT.,72403326,SOLDADURAS FUNDENTES Y ACCES.
19_20270315,NEW,EXTERNA,0.0,111515.88,56297.92,0.0,0.0,72403348,72403348,72403398,72504416,0.0,0.0,72403324,PLACAS Y PERFILES ESTRUCT.,72403326,SOLDADURAS FUNDENTES Y ACCES.
35_20270512,NEW,EXTERNA,1004.95,4019.8,0.0,0.0,0.0,72403348,72403348,72403398,72504416,0.0,0.0,72403324,PLACAS Y PERFILES ESTRUCT.,72403326,SOLDADURAS FUNDENTES Y ACCES.
35_20270519,NEW,EXTERNA,1004.95,4019.8,0.0,0.0,0.0,72403348,72403348,72403398,72504416,0.0,0.0,72403324,PLACAS Y PERFILES ESTRUCT.,72403326,SOLDADURAS FUNDENTES Y ACCES.
35_20271104,REP,EXTERNA,1004.95,4019.8,0.0,0.0,0.0,72403348,72403348,72403398,72504416,0.0,0.0,72403324,PLACAS Y PERFILES ESTRUCT.,72403326,SOLDADURAS FUNDENTES Y ACCES.
38_20270315,REP,EXTERNA,27973.68,85480.48,0.0,0.0,0.0,72403348,72403348,72403398,72504416,0.0,0.0,72403324,PLACAS Y PERFILES ESTRUCT.,72403326,SOLDADURAS FUNDENTES Y ACCES.
40_20271017,NEW,INTERNA,0.0,84097.4,36760.57,0.0,0.0,72403348,72403348,72403398,72504416,0.0,0.0,72403324,PLACAS Y PERFILES ESTRUCT.,72403326,SOLDADURAS FUNDENTES Y ACCES.
40_20270625,REP,INTERNA,0.0,84097.4,36760.57,0.0,0.0,72403348,72403348,72403398,72504416,0.0,0.0,72403324,PLACAS Y PERFILES ESTRUCT.,72403326,SOLDADURAS FUNDENTES Y ACCES.
58_20270109,REP,INTERNA,4334.0,21000.0,5942.3099999999995,0.0,0.0,72403348,72403348,72403398,72504416,0.0,0.0,72403324,PLACAS Y PERFILES ESTRUCT.,72403326,SOLDADURAS FUNDENTES Y ACCES.
58_20270405,REP,INTERNA,4334.0,21000.0,5942.3099999999995,0.0,0.0,72403348,72403348,72403398,72504416,0.0,0.0,72403324,PLACAS Y PERFILES ESTRUCT.,72403326,SOLDADURAS FUNDENTES Y ACCES.
