EQUIPO,FLOTA,SISTEMA,ID_COMPONENTE,CODIGO_COMPONENTE,NOMBRE_COMPONENTE,FECHA_CAMBIO,FECHA_PRESUPUESTO,MES_PRESUPUESTO_NOMBRE,OPCION_COMPONENTE,DECISION_PRESUPUESTO,REP_NEW_LINEA,TIPO_REPARACION,CONCEPTO_PRESUPUESTO,COSTO_ESTIMADO,CLASE_COSTO_FINAL,DESC_CLASE_COSTO_FINAL,PROVEEDOR,TIPO_MANTENIMIENTO,ORIGEN_PRESUPUESTO,ID_EVENTO,AÑO_CAMBIO,MES_CAMBIO,MES_CAMBIO_TEXTO,MES_CAMBIO_NOMBRE,AÑO_PRESUPUESTO,MES_PRESUPUESTO,MES_PRESUPUESTO_TEXTO,POR_DEFINIR
PAT10,480X,MANTENIMIENTO,MANUAL,MANUAL,ALQUILER DE GRUA PARA ARMADO DE PALA,2027-04-30,2027-04-30,Abr-27,NUEVO,NEW,NEW,INTERNA,ALQUILER DE GRUA PARA ARMADO DE PALA,136152.0,72504509,ALQUILER DE VEHICULOS LIGEROS,,PROGRAMADO / PREVENTIVO,PROGRAMADO,MANUAL_20260710151258_001,2027,4,Abr,Abr-27,2027,4,Abr,False
PAT10,480X,MANTENIMIENTO,MANUAL,MANUAL,ALQUILER DE GRUA PARA ARMADO DE PALA,2027-04-30,2027-05-30,May-27,NUEVO,NEW,NEW,INTERNA,ALQUILER DE GRUA PARA ARMADO DE PALA,136152.0,72504509,ALQUILER DE VEHICULOS LIGEROS,,PROGRAMADO / PREVENTIVO,PROGRAMADO,MANUAL_20260710151258_002,2027,4,Abr,Abr-27,2027,5,May,False
PAT10,480X,MANTENIMIENTO,MANUAL,MANUAL,ALQUILER DE GRUA PARA ARMADO DE PALA,2027-04-30,2027-06-30,Jun-27,NUEVO,NEW,NEW,INTERNA,ALQUILER DE GRUA PARA ARMADO DE PALA,136152.0,72504509,ALQUILER DE VEHICULOS LIGEROS,,PROGRAMADO / PREVENTIVO,PROGRAMADO,MANUAL_20260710151258_003,2027,4,Abr,Abr-27,2027,6,Jun,False
PAT10,480X,MANTENIMIENTO,MANUAL,MANUAL,ALQUILER DE GRUA PARA ARMADO DE PALA,2027-04-30,2027-07-30,Jul-27,NUEVO,NEW,NEW,INTERNA,ALQUILER DE GRUA PARA ARMADO DE PALA,136152.0,72504509,ALQUILER DE VEHICULOS LIGEROS,,PROGRAMADO / PREVENTIVO,PROGRAMADO,MANUAL_20260710151258_004,2027,4,Abr,Abr-27,2027,7,Jul,False
PAT10,480X,MANTENIMIENTO,MANUAL,MANUAL,ALQUILER DE GRUA PARA ARMADO DE PALA,2027-04-30,2027-08-30,Ago-27,NUEVO,NEW,NEW,INTERNA,ALQUILER DE GRUA PARA ARMADO DE PALA,136152.0,72504509,ALQUILER DE VEHICULOS LIGEROS,,PROGRAMADO / PREVENTIVO,PROGRAMADO,MANUAL_20260710151258_005,2027,4,Abr,Abr-27,2027,8,Ago,False
PAT10,480X,MANTENIMIENTO,MANUAL,MANUAL,ALQUILER DE GRUA PARA ARMADO DE PALA,2027-04-30,2027-09-30,Set-27,NUEVO,NEW,NEW,INTERNA,ALQUILER DE GRUA PARA ARMADO DE PALA,136152.0,72504509,ALQUILER DE VEHICULOS LIGEROS,,PROGRAMADO / PREVENTIVO,PROGRAMADO,MANUAL_20260710151258_006,2027,4,Abr,Abr-27,2027,9,Set,False
PAT10,480X,MANTENIMIENTO,MANUAL,MANUAL,ALQUILER DE GRUA PARA ARMADO DE PALA,2027-04-30,2027-10-30,Oct-27,NUEVO,NEW,NEW,INTERNA,ALQUILER DE GRUA PARA ARMADO DE PALA,136152.0,72504509,ALQUILER DE VEHICULOS LIGEROS,,PROGRAMADO / PREVENTIVO,PROGRAMADO,MANUAL_20260710151258_007,2027,4,Abr,Abr-27,2027,10,Oct,False
PAT6,495HR,SISTEMA DE GIRO,PROGRAMADO,PROGRAMADO,BASE DE CAJA DE GIRO RH,2027-08-15,2026-08-11,Ago-26,NUEVO,NEW,NEW,EXTERNA,,200000.0,72403348,REFACCCIONES  PARA  MAQ PESADA,,PROGRAMADO / PREVENTIVO,PROGRAMADO,MANUAL_20260711112059_001,2027,8,Ago,Ago-27,2026,8,Ago,False
PAT6,495HR,SISTEMA DE GIRO,PROGRAMADO,PROGRAMADO,BASE DE CAJA DE GIRO RH,2027-08-15,2026-08-11,Ago-26,NUEVO,NEW,NEW,EXTERNA,,200000.0,72403348,REFACCCIONES  PARA  MAQ PESADA,,PROGRAMADO / PREVENTIVO,PROGRAMADO,MANUAL_20260711112059_002,2027,8,Ago,Ago-27,2026,8,Ago,False
PAT5,495HR,SISTEMA DE GIRO,PROGRAMADO,PROGRAMADO,BASE DE CAJA DE GIRO RH,2027-08-11,2027-08-10,Ago-27,NUEVO,NEW,NEW,EXTERNA,COMPONENTE NUEVO COMPLETO,200000.0,72403348,REFACCCIONES  PARA  MAQ PESADA,,PROGRAMADO / PREVENTIVO,PROGRAMADO,MANUAL_20260711113606_001,2027,8,Ago,Ago-27,2027,8,Ago,False
